coordinate,GPP_2010,GPP_2011,GPP_2012,GPP_2013,GPP_2014,GPP_2015,GPP_2016,GPP_2017,GPP_2018,GPP_2019,GPP_2020,GPP_2021,GPP_2022,GPP_2023,Land_Cover_2010,Land_Cover_2011,Land_Cover_2012,Land_Cover_2013,Land_Cover_2014,Land_Cover_2015,Land_Cover_2016,Land_Cover_2017,Land_Cover_2018,Land_Cover_2019,Land_Cover_2020,Land_Cover_2021,Land_Cover_2022,Land_Cover_2023,ADM3_1,ADM2_1,distance_to_water,normalized_distance_to_water,distance_to_whole_line
"(np.float64(-11.291685842444386), np.float64(17.016542745000052))",568,365,824,1233,695,842,812,460,1622,809,1555,601,2261,1189,10,10,10,10,10,10,10,10,10,10,10,10,10,10,Nouamlein,Kiffa,588.3793682551135,0.29026046676453543,0.40381395612496335
"(np.float64(-11.290821644913523), np.float64(15.991481016604991))",1038,838,2183,698,595,816,2109,530,960,616,1632,988,3129,1450,10,10,10,10,10,10,10,10,10,10,10,10,10,10,Blajmil,Kankoussa,539.1112216413669,0.21321151898931212,0.573603763217366
"(np.float64(-11.290574731333274), np.float64(17.639876078333387))",65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,16,16,16,16,16,16,16,16,16,16,16,16,16,16,Lavtah,Boumdeid,837.8947220073009,0.680469897841543,0.7659007680139118
"(np.float64(-11.28785868195056), np.float64(17.644567436358077))",65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,16,16,16,16,16,16,16,16,16,16,16,16,16,16,Lavtah,Boumdeid,840.6991773850069,0.6848556998411361,0.7637487087326019
"(np.float64(-11.284401891827102), np.float64(17.66666620179018))",65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,16,16,16,16,16,16,16,16,16,16,16,16,16,16,Lavtah,Boumdeid,851.8000669158271,0.7022160414919836,0.7482747457459225
"(np.float64(-11.28032781775303), np.float64(17.3188884240124))",65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,16,16,16,10,10,10,10,10,10,16,16,16,16,10,Nouamlein,Kiffa,700.4862109595755,0.46558092962869374,0.6653185371438177
"(np.float64(-11.278105595530807), np.float64(18.026666201790174))",65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,16,16,16,16,16,16,16,16,16,16,16,16,16,16,Lavtah,Boumdeid,1029.0045335482891,0.979340687607479,0.48459947769681483
"(np.float64(-11.275636459728338), np.float64(17.31728348574079))",65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,16,16,16,16,10,10,10,10,16,16,16,16,16,16,Nouamlein,Kiffa,701.1021546762884,0.4665441851705258,0.6664754426707985
"(np.float64(-11.272796953555497), np.float64(17.655925461049435))",65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,16,16,16,16,16,16,16,16,16,16,16,16,16,16,Lavtah,Boumdeid,849.4634473962661,0.6985618736836295,0.7638853723811967
"(np.float64(-11.271932756024631), np.float64(18.004073609197587))",65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,16,16,16,16,16,16,16,16,16,16,16,16,16,16,Lavtah,Boumdeid,1018.7961828069542,0.9633761600739669,0.506144813905703
"(np.float64(-11.271562385654263), np.float64(18.016666201790176))",65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,16,16,16,16,16,16,16,16,16,16,16,16,16,16,Lavtah,Boumdeid,1025.2154168898633,0.9734150039437907,0.4965013500431027
"(np.float64(-11.270080904172781), np.float64(17.662715584506227))",65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,16,16,16,16,16,16,16,16,16,16,16,16,16,16,Lavtah,Boumdeid,853.2558447696036,0.7044926879570378,0.7602489285583899
"(np.float64(-11.268846336271547), np.float64(17.29777731290129))",65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,16,16,16,10,10,10,10,10,10,16,16,16,16,16,Nouamlein,Kiffa,695.1729379063229,0.4572716643907492,0.6521638407980058
"(np.float64(-11.265389546148091), np.float64(17.3146908931482))",65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,16,16,16,10,10,10,10,10,16,16,16,16,16,16,Nouamlein,Kiffa,702.8440858276737,0.46926833802659595,0.6687715624491605
